creator_id,name,handle,platform,category,location,audience_size,engagement_rate,audience_type,content_style,sports,fitness_focus,brand_fit,status,contact,rate,products_sent,campaigns,performance,notes
CR-001,Brian Alsruhe,@brian.alsruhe,instagram+youtube,Trainer,"Westminster, MD",~230K YT / ~79K IG (vidIQ + IG snippets 2026-08-20),,strongman/powerlifting community,"gym-owner training vlogs, no-nonsense","strongman, powerlifting",gym owner — opens his own gym,,PROSPECT,,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-001 match (5:40 open is his real life); persona intense vs quiet-confidence — calibrate; src: vidiq.com, instagram.com/brian.alsruhe, famousbirthdays.com"
CR-002,Martinus Evans,@300poundsandrunning,instagram,Runner,US,~100K IG (own post + NPR 2025-11; read 2026-08-20),,"back-of-pack runners, first-timers",body-first running advocacy; Slow AF Run Club founder (20K members),"running (8 marathons, 100+ races)","endurance, anti-vanity",,PROSPECT,,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-002: audience IS first-half people; deviation — he is not a first-timer himself (mentor angle); adidas/Runner's World profile = above typical UGC rates; src: npr.org, slowafrunclub.com"
CR-003,Mike Ko (kofuzi),youtube.com/@kofuzi,youtube,Runner,"Chicago suburbs, IL",~202K YT subs (runningsucks101; count date unclear — possibly stale),,non-elite runners,"calm, dry marathon-training vlogs + shoe reviews",running (marathon),amateur authenticity,,PROSPECT,,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-002 alt; high quiet-confidence fit; gear-reviewer candor cuts both ways; marathon > half focus; src: fleetfeet.com, banditrunning.com, runningsucks101.com"
CR-004,Chris Hutchins,@chrishutchins,instagram+podcast,Entrepreneur,US,~13K IG; podcast claims 1M+ listeners (snippets 2026-08-20),,"optimizers, founders, frequent flyers",life/money/travel optimization; All the Hacks podcast; ex-Google/Wealthfront founder,,travel-heavy work life,,PROSPECT,,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-003: real entrepreneur who actually flies constantly; measured systems tone; podcast-first — video UGC not his norm; credibility > reach; src: tim.blog, chrishutchins.com"
CR-005,Julia Menez,@geobreezetravel,instagram,Entrepreneur/Travel,"Las Vegas, NV",~420K IG — ABOVE preferred band (snippet 2026-08-20),,points/award-travel audience,"points-strategy coach, Geobreeze podcast",,aviation-native content,,PROSPECT,,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-003 alt; ABOVE 300K band; premium-cabin aesthetic may clash with mundane red-eye brief; src: instagram.com/geobreezetravel, geobreezetravel.com"
CR-006,Jess Kinsey,@jessskinsey,tiktok,Wellness/Nurse,"Greenville, SC",~396K TikTok — ABOVE band (snippet 2026-08-20; 314.9K per earlier inBeat — growing),,"nurses, shift workers","ICU nurse day-in-the-life, 12-hour-shift routines",,shift prep/recovery formats,,PROSPECT,,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-004 exact arena; prior healthcare #ad work (AMN); profession-respect rules apply hard; src: tiktok.com/@jessskinsey, inbeat.agency"
CR-007,Patrick Oatman,@patrick.oatman,tiktok,Student Athlete,"University of Connecticut (track & field, pole vault)",~114.4K (IZEA) to ~210K (later snippet) — sources vary,,"student athletes, nutrition-curious",student-athlete DITL + health-food education (nutrition major),track & field,nutrition-literate,,PROSPECT,,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-005; NIL-ACTIVE (Opendorse profile) — leadership/counsel review MANDATORY before any deal; verify current roster/eligibility; src: izea.com, uconnhuskies.com, opendorse.com"
CR-008,Fit Sidney,@fit.sidney,tiktok,Gym/Lifestyle,Arizona (Phoenix-ranked; profile also lists Sweden+USA — confirm),~426.1K — ABOVE band (snippet 2026-08-20),,fitness/wellness general,fitness-lifestyle content; fastest-growing PHX fitness TikTok (Jan 2026),,"coach-type, not everyday regular",,PROSPECT,,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-006 WEAK fill — brief wants an everyday gym regular; MULTIPLE COPYCAT ACCOUNTS exist — exact-account verification essential; src: infludata.com, tiktok.com/@fit.sidney"
CR-009,Alica Ramkirpal-Senhouse,@alicaspepperpot,instagram,Lifestyle/Heritage food,"Florida (orig. Queens, NY)",~62K IG (snippet 2026-08-20),,Caribbean/West Indian food community,"Guyanese-American family recipes since 2010; warm, non-hype",,,,PROSPECT,alicaspepperpot.com,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-007 strong fit — genuine heritage where soursop is traditional; her soursop-specific posts NOT confirmed this session; on-camera UGC comfort to confirm; src: instagram.com/alicaspepperpot, Authority Magazine, villagevoicenews.com"
CR-010,Tiago Forte,@fortelabsco,instagram+youtube,Entrepreneur/Knowledge work,US,~150K YT (June 2026 src) / ~15K IG,,"knowledge workers, PKM audience","Building a Second Brain author; deep work, anti-hustle systems",,deep-work native,,PROSPECT,fortelabs.com,,,,,"UNVERIFIED PROSPECT — search-summary sourcing only (2026-08-20); CEO review + re-verification required before ANY outreach (D-0006/C-001). UGC-008: 90-minute block is squarely his territory; author tier — may prefer partnership framing over UGC; src: fortelabs.com, youtube.com/@TiagoForte, orbitmarketing.substack.com"
