content_id,date,platform,posting_time,level,content_pillar,campaign,concept,hook,format,talent,product,cta,production_status,approval_status,post_status,asset_link,performance_notes
SF-004,2026-09-01,tiktok,12:00,Always-On,Hydration Education,hydration-sticks-launch,Thirst is a lagging indicator,Thirst is a lagging indicator. Here's what that means.,45s video,creator/team,Sticks,Save this,SCRIPTED,PENDING,PLANNED,,Phase 1 territory opener
FD-001,2026-09-01,reels,08:00,Culture,Founder Journey,hydration-sticks-launch,4:58 — the beach where AForce started,"Before this company had a name, it had a time: 4:58.",60s video,Brandon,none,Follow for ep. 002,SCRIPTED,PENDING,PLANNED,,founder arc 1/6; film pre-dawn batch
CAL-X01,2026-09-01,x,09:00,Culture,Culture,hydration-sticks-launch,Territory statement post,Everyone performs. Not everyone prepares.,text,brand,none,none,PLANNED,PENDING,PLANNED,,canonical line; no link
SF-012,2026-09-02,tiktok,12:00,Always-On,Lifestyle,hydration-sticks-launch,First Action: the template,This is not a morning routine video.,15s video,creator,Sticks-Watermelon,Duet yours,SCRIPTED,PENDING,PLANNED,,F07 format seed
SF-002,2026-09-02,shorts,17:00,Always-On,Ingredients,hydration-sticks-launch,"Sodium, the misunderstood one (F04 ep1)",Sodium isn't the villain your feed says it is.,60s video,creator/team,Sticks,Save this,SCRIPTED,PENDING,PLANNED,,NIH source on screen
SF-016,2026-09-03,tiktok,12:00,Culture,Community,hydration-sticks-launch,Non-Negotiables street interviews vol.1,Name your non-negotiable.,45s video,street subjects,none,Comment yours,SCRIPTED,PENDING,PLANNED,,F08 pilot; releases signed
SF-009,2026-09-03,reels,08:00,Culture,Motivation + Discipline,hydration-sticks-launch,"Quiet Hours: 5 AM, no music",No music. No voiceover. Just what 5 AM sounds like.,30s video,athlete subject,none,sound on,SCRIPTED,PENDING,PLANNED,,EXP-006 arm A context; post 19:00 (EXP-008 evening test)
FD-003,2026-09-03,linkedin,08:30,Culture,Founder Journey,hydration-sticks-launch,Two years of 'impossible' (text),Every expert we called said the same three words.,text ~180w,Brandon,none,none,SCRIPTED,PENDING,PLANNED,,1 story SLOT to fill
SF-006,2026-09-04,tiktok,12:00,Always-On,Entertainment,hydration-sticks-launch,Soursop first-timers,What does soursop even taste like?,30s video,street subjects,Sticks-Soursop,Comment: describe it,SCRIPTED,PENDING,PLANNED,,comment engine
SF-010,2026-09-04,shorts,17:00,Always-On,Hydration Education,hydration-sticks-launch,You lose more than water when you sweat,Ever seen white lines on a black shirt?,60s video,creator/team,Sticks,Save this,SCRIPTED,PENDING,PLANNED,,category core logic
CAL-X02,2026-09-04,x,09:00,Culture,Culture,hydration-sticks-launch,Preparation-over-motivation post,Motivation is overrated. Preparation doesn't care how you feel.,text,brand,none,none,PLANNED,PENDING,PLANNED,,
CAL-T1,2026-09-05,tiktok,12:00,Campaign,AForce Product,hydration-sticks-launch,Teaser 1: silhouette stick,Something's about to make the ritual portable.,15s teaser,product only,Sticks (tease),Follow the Standard,PLANNED,PENDING,PLANNED,,no product name yet; curiosity only
