idea_id,idea,pillar,campaign,platform,format,priority,status,source,notes
CI-001,"Preparation beats motivation: the case, in 45 seconds",Performance Education,,tiktok,short,P1,IDEA,build-2026-08-19,
CI-002,The last hour before pressure: what to actually do with it,Performance Education,,reels,short,P1,IDEA,build-2026-08-19,
CI-003,Why elite warmups start the night before,Performance Education,,shorts,short,P2,IDEA,build-2026-08-19,
CI-004,Deep work blocks: the 90-minute preparation protocol,Performance Education,,linkedin,carousel,P2,IDEA,build-2026-08-19,
CI-005,The difference between a routine and a ritual,Performance Education,,reels,short,P1,IDEA,build-2026-08-19,brand-core idea
CI-006,Composure under pressure is trainable: three methods,Performance Education,,shorts,short,P2,IDEA,build-2026-08-19,
CI-007,Sleep is preparation: the night-before checklist,Performance Education,,reels,short,P2,IDEA,build-2026-08-19,behavioral framing only
CI-008,How to build a pre-game ritual from scratch,Performance Education,,shorts,short,P2,IDEA,build-2026-08-19,
CI-009,Preparation for people with chaotic schedules (shift workers),Performance Education,,tiktok,short,P2,IDEA,build-2026-08-19,P3 audience
CI-010,The four verbs explained: Pause. Hydrate. Lock-In. Perform.,Performance Education,,reels,short,P1,IDEA,build-2026-08-19,canon
CI-011,Thirst lags: why you're behind before you feel it,Hydration Education,,tiktok,short,P1,IDEA,build-2026-08-19,SF-004
CI-012,What leaves your body in sweat (and what puts it back),Hydration Education,,shorts,short,P1,IDEA,build-2026-08-19,SF-010
CI-013,Morning dehydration: what a night does to fluid balance,Hydration Education,,tiktok,short,P2,IDEA,build-2026-08-19,Agent 07 sourcing
CI-014,Hydration for flights: the travel protocol,Hydration Education,hydration-sticks-launch,reels,short,P1,IDEA,build-2026-08-19,sticks tie-in
CI-015,Heat training: hydration rules for August,Hydration Education,,shorts,short,P1,IDEA,build-2026-08-19,SF-017 seasonal
CI-016,Eight glasses a day: where the rule came from,Hydration Education,,tiktok,short,P2,IDEA,build-2026-08-19,
CI-017,Hydration and focus: what the evidence actually says,Hydration Education,,shorts,short,P2,IDEA,build-2026-08-19,EMERGING lane care
CI-018,Why 'just drink more water' is incomplete advice,Hydration Education,,tiktok,short,P1,IDEA,build-2026-08-19,
CI-019,"Coffee, alcohol, and fluid balance: the honest version",Hydration Education,,shorts,short,P3,IDEA,build-2026-08-19,QA heavy
CI-020,"The hydration process chain, animated (ingestion to function)",Hydration Education,,reels,short,P2,IDEA,build-2026-08-19,science page adaptation
CI-021,Why we put the pH on the can and not a promise,AForce Product,,tiktok,short,P1,IDEA,build-2026-08-19,SF-001
CI-022,Sticks explained: the ritual travels,AForce Product,hydration-sticks-launch,reels,short,P1,IDEA,build-2026-08-19,SF-005 hero
CI-023,"The Demand system: seven demands, one ritual",AForce Product,hydration-sticks-launch,reels,short,P1,IDEA,build-2026-08-19,SF-007
CI-024,'Expensive salt?' — the honest answer,AForce Product,hydration-sticks-launch,tiktok,short,P1,IDEA,build-2026-08-19,SF-008
CI-025,Honest answer: when you don't need us,AForce Product,,tiktok,short,P1,IDEA,build-2026-08-19,SF-019 trust play
CI-026,Variety Pack in 15 seconds,AForce Product,hydration-sticks-launch,reels,short,P2,IDEA,build-2026-08-19,direct response 5%
CI-027,Sticks vs cans: which format for which life,AForce Product,,reels,short,P2,IDEA,build-2026-08-19,
CI-028,"What we can't tell you yet (formulation sign-off, honestly)",AForce Product,hydration-sticks-launch,tiktok,short,P2,IDEA,build-2026-08-19,QA required
CI-029,"Unboxing, but it's just the truth: what's in the box",AForce Product,hydration-sticks-launch,tiktok,short,P2,IDEA,build-2026-08-19,
CI-030,"AForce OS activation: scan the stick, see the ritual",AForce Product,,stories,story,P3,IDEA,build-2026-08-19,verify OS flow before filming
CI-031,4:58 — the beach where AForce started,Founder Journey,,reels,short,P1,IDEA,build-2026-08-19,FD-001
CI-032,The call: 'I think I just came up with the next big thing',Founder Journey,,reels,short,P1,IDEA,build-2026-08-19,FD-002
CI-033,Two years of 'impossible',Founder Journey,,linkedin,text+short,P1,IDEA,build-2026-08-19,FD-003
CI-034,The spreadsheet that changed everything,Founder Journey,,shorts,short,P1,IDEA,build-2026-08-19,FD-004
CI-035,Formulate. Fail. Adjust. Return. — the loop we live,Founder Journey,,reels,short,P1,IDEA,build-2026-08-19,FD-005
CI-036,Julius's dream: why there's an OS,Founder Journey,,reels,short,P1,IDEA,build-2026-08-19,FD-006 Julius voice
CI-037,Vision guy vs structure guy: how brothers divide a company,Founder Journey,,tiktok,short,P2,IDEA,build-2026-08-19,FD-007
CI-038,What September launch month actually looks like from inside,Founder Journey,hydration-sticks-launch,linkedin,text,P1,IDEA,build-2026-08-19,FD-008 [SLOTs]
CI-039,The hardest no we've said so far,Founder Journey,,tiktok,short,P2,IDEA,build-2026-08-19,FD-009 [SLOT]
CI-040,Why the ritual starts with Pause (both origin stories),Founder Journey,,reels,short,P2,IDEA,build-2026-08-19,FD-010
CI-041,48 Hours Out: half-marathon edition,Athletic Performance,,reels,short,P1,IDEA,build-2026-08-19,F06 pilot; UGC-002
CI-042,The moment before: amateur fighter's last hour,Athletic Performance,,reels,short,P1,IDEA,build-2026-08-19,SF-003 F01 pilot
CI-043,"Game-day mornings: three sports, one standard",Athletic Performance,,shorts,short,P2,IDEA,build-2026-08-19,
CI-044,Student athlete season prep (dorm edition),Athletic Performance,,tiktok,short,P2,IDEA,build-2026-08-19,UGC-005 NIL check
CI-045,Training in heat: what changes above 85 degrees,Athletic Performance,,shorts,short,P2,IDEA,build-2026-08-19,with hydration ed
CI-046,The taper: why doing less feels harder,Athletic Performance,,shorts,short,P3,IDEA,build-2026-08-19,
CI-047,Post-session window: recovery as the second half of work,Athletic Performance,,reels,short,P2,IDEA,build-2026-08-19,behavioral framing
CI-048,Off-season discipline: what athletes keep when nobody's watching,Athletic Performance,,reels,short,P2,IDEA,build-2026-08-19,culture crossover
CI-049,First Action: the template (my first 30 minutes),Lifestyle,,tiktok,short,P1,IDEA,build-2026-08-19,F07 launch; SF-012
CI-050,The gym bag audit: what's actually in there,Lifestyle,,tiktok,short,P2,IDEA,build-2026-08-19,
CI-051,Hotel room ritual: keeping the standard on the road,Lifestyle,hydration-sticks-launch,tiktok,short,P1,IDEA,build-2026-08-19,SF-014
CI-052,Desk setup for the 2 PM decision,Lifestyle,,reels,short,P3,IDEA,build-2026-08-19,
CI-053,Sunday reset without the aesthetic,Lifestyle,,reels,short,P2,IDEA,build-2026-08-19,anti-cliché angle
CI-054,The parent's 5:50 AM: before the household wakes,Lifestyle,,reels,short,P1,IDEA,build-2026-08-19,UGC-009; canon image
CI-055,Car rituals: the parking-lot pause before work,Lifestyle,,tiktok,short,P2,IDEA,build-2026-08-19,
CI-056,What a prepared week looks like on Sunday night,Lifestyle,,carousel,carousel,P3,IDEA,build-2026-08-19,
CI-057,The reps no one applauds,Motivation + Discipline,,reels,short,P1,IDEA,build-2026-08-19,"quote-adjacent, film real reps"
