content_id,date_created,level,campaign,content_pillar,platform,format,concept,hook,script,caption,cta,product,flavor,talent,status,publish_date,publish_time,asset_url,views,likes,comments,shares,saves,watch_time,completion_rate,clicks,conversions,notes
SF-001,2026-08-19,Always-On,,AForce Product,tiktok,45s video,Why we put the pH on the can and not a promise,Why we put the pH on the can and not a promise.,content/scripts/sf-001.md,see script file,see script file,Hydration Sticks + cans,,founder/team,DRAFT,,,,,,,,,,,,,Stated Plainly F03; H-007
SF-002,2026-08-19,Always-On,,Ingredients,shorts,60s video,"Sodium, the misunderstood one (Nothing Without a Reason ep. 1)",Sodium isn't the villain your feed says it is.,content/scripts/sf-002.md,see script file,see script file,Hydration Sticks,,creator/team,APPROVED,,,,,,,,,,,,,F04 ep1; NIH ODS on screen; H-016; CEO D-0002 2026-08-20
SF-003,2026-08-19,Culture,,Athletic Performance,reels,60s video,The Moment Before: amateur fighter's last hour,She fights in 60 minutes. Watch what she does with them.,content/scripts/sf-003.md,see script file,see script file,none (ambient),,athlete subject,APPROVED,,,,,,,,,,,,,F01 pilot; H-034 family; CEO D-0002 2026-08-20
SF-004,2026-08-19,Always-On,,Hydration Education,tiktok,45s video,Thirst is a lagging indicator,Thirst is a lagging indicator. Here's what that means.,content/scripts/sf-004.md,see script file,see script file,Hydration Sticks,,creator/team,APPROVED,,,,,,,,,,,,,H-018; ESTABLISHED lane; CEO D-0002 2026-08-20
SF-005,2026-08-19,Campaign,hydration-sticks-launch,AForce Product,reels,30s video,The ritual travels: airport edition,TSA can't stop your ritual. That's the point of the stick.,content/scripts/sf-005.md,see script file,see script file,Hydration Sticks,Watermelon,founder or creator,DRAFT,,,,,,,,,,,,,launch hero support; H-093
SF-006,2026-08-19,Always-On,hydration-sticks-launch,Entertainment,tiktok,30s video,What does soursop even taste like? First-timers on camera,"What does soursop even taste like? First-timers, on camera.",content/scripts/sf-006.md,see script file,see script file,Hydration Sticks,Soursop,street subjects,APPROVED,,,,,,,,,,,,,H-081; F14 adjacent; CEO D-0002 2026-08-20
SF-007,2026-08-19,Campaign,hydration-sticks-launch,AForce Product,reels,45s video,Seven demands. One ritual. (The Demand system),Seven demands. One ritual. Pick yours.,content/scripts/sf-007.md,see script file,see script file,Hydration Sticks,,voiceover + b-roll,DRAFT,,,,,,,,,,,,,H-067; shop tie-in
SF-008,2026-08-19,Campaign,hydration-sticks-launch,AForce Product,tiktok,45s video,'Isn't this just expensive salt?' — answered plainly,'Isn't this just expensive salt?' Fair question. Real answer inside.,content/scripts/sf-008.md,see script file,see script file,Hydration Sticks,,founder,DRAFT,,,,,,,,,,,,,F03; H-077
SF-009,2026-08-19,Culture,,Motivation + Discipline,reels,30s video,"Quiet Hours: 5 AM gym, no music",No music. No voiceover. Just what 5 AM sounds like.,content/scripts/sf-009.md,see script file,see script file,none,,athlete subject,APPROVED,,,,,,,,,,,,,F09 pilot; H-053; CEO D-0002 2026-08-20
SF-010,2026-08-19,Always-On,,Hydration Education,shorts,60s video,You lose more than water when you sweat,You lose more than water when you sweat.,content/scripts/sf-010.md,see script file,see script file,Hydration Sticks,,creator/team,APPROVED,,,,,,,,,,,,,H-019; ESTABLISHED lane; CEO D-0002 2026-08-20
SF-011,2026-08-19,Always-On,,Ingredients,shorts,60s video,Alkaline honesty: what pH 8.8 is and isn't,'Alkaline water changes your body's pH.' We sell alkaline hydration. And that's not how it works.,content/scripts/sf-011.md,see script file,see script file,RTD cans,,founder/team,DRAFT,,,,,,,,,,,,,H-057; QA priority
SF-012,2026-08-19,Always-On,,Lifestyle,tiktok,15s video,First Action: the template,This is not a morning routine video.,content/scripts/sf-012.md,see script file,see script file,Hydration Sticks,Watermelon,creator,APPROVED,,,,,,,,,,,,,F07 launch; H-054; CEO D-0002 2026-08-20
SF-013,2026-08-19,Culture,,Culture,reels,30s video,"Different Arenas: surgeon x wrestler, same 4:45",Two alarms. Same time. Completely different lives.,content/scripts/sf-013.md,see script file,see script file,none,,two subjects,APPROVED,,,,,,,,,,,,,F05 pilot; H-070; CEO D-0002 2026-08-20
SF-014,2026-08-19,Campaign,hydration-sticks-launch,Lifestyle,tiktok,30s video,Hotel room ritual: the standard on the road,Hotel rooms have ended more streaks than hard workouts ever did.,content/scripts/sf-014.md,see script file,see script file,Hydration Sticks,Berry,creator (P2),DRAFT,,,,,,,,,,,,,H-027; travel demand
SF-015,2026-08-19,Always-On,,Ingredients,shorts,45s video,Electrolytes are not energy: the regulation story,Electrolytes don't give you energy. They do something better.,content/scripts/sf-015.md,see script file,see script file,Hydration Sticks,,creator/team,DRAFT,,,,,,,,,,,,,H-021; F04
SF-016,2026-08-19,Culture,,Community,tiktok,45s video,Non-Negotiables: street interviews vol. 1,Name your non-negotiable. The one thing you never skip.,content/scripts/sf-016.md,see script file,see script file,none,,street subjects,APPROVED,,,,,,,,,,,,,F08 pilot; H-042; CEO D-0002 2026-08-20
SF-017,2026-08-19,Always-On,,Hydration Education,shorts,60s video,"Heat rules: training in August, honestly",August training has different rules. Here they are.,content/scripts/sf-017.md,see script file,see script file,Hydration Sticks,,creator (P1),APPROVED,,,,,,,,,,,,,H-029; seasonal; heat demand; CEO D-0002 2026-08-20
SF-018,2026-08-19,Campaign,hydration-sticks-launch,AForce Product,reels,30s video,Which flavor starts your ritual?,"Which flavor starts your ritual — Watermelon, Soursop, or Berry?",content/scripts/sf-018.md,see script file,see script file,Hydration Sticks,all,voiceover + b-roll,DRAFT,,,,,,,,,,,,,H-099; poll companion in Stories
SF-019,2026-08-19,Always-On,,AForce Product,tiktok,45s video,Honest answer: when you don't need us,"Honest answer: no, you don't need electrolytes for a 20-minute walk.",content/scripts/sf-019.md,see script file,see script file,Hydration Sticks,,founder,DRAFT,,,,,,,,,,,,,F03 trust play; H-076
