experiment_id,hypothesis,variable,control,variant,platform,success_metric,sample_plan,start_date,end_date,status,result,decision,notes
EXP-001,Question hooks beat statement hooks on TikTok completion,hook type,statement-hook posts,question-hook posts,tiktok,completion_rate,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
EXP-002,Founder delivery beats creator delivery for education content on Reels,talent,creator-delivered education,founder-delivered education,reels,completion_rate + follows,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
EXP-003,30s education outperforms 60s education on TikTok completion,video length,60s education cuts,30s education cuts,tiktok,completion_rate,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
EXP-004,Soft CTAs beat direct CTAs on saves for education content,cta,direct CTA (link in bio),soft CTA (save this),reels,saves,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
EXP-005,Problem-first openings beat product-first openings for stick content,opening,product-first stick videos,problem-first stick videos,tiktok,completion_rate + clicks,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
EXP-006,No-music Quiet Hours edit beats standard edit on watch time for culture content,editing style,music + cuts edit,ambient-sound single-take,reels,avg_watch_time,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
EXP-007,Question captions beat declarative captions for comments,caption,declarative caption,question caption,tiktok,comments,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
EXP-008,Evening posts beat midday posts for culture content,posting time,12:00 posts,19:00 posts,tiktok,views_48h,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
EXP-009,Timestamp cold-opens beat spoken hooks for story content,hook execution,spoken hook open,timestamp overlay open,reels,3s retention,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
EXP-010,Curiosity-based product messaging beats direct messaging for launch content,messaging,direct product message,curiosity-based message,tiktok,clicks + completion,min 3 posts per arm,,,PLANNED,,,launch-window backlog; activates when posting begins
